 ** Playing game examples/gridphysics/zelda.txt, level examples/gridphysics/zelda_lvl0.txt **
331 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
332 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
333 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
334 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
335 Result (1->win; 0->lose):0, Score:-1.0, timesteps:169
336 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
337 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
338 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
339 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
340 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
341 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
342 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
343 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
344 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
345 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
346 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
347 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
348 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
349 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
350 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
351 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
352 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
353 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
354 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
355 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
356 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
357 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
358 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
359 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
360 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
361 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
362 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
363 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
364 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
365 Result (1->win; 0->lose):0, Score:-1.0, timesteps:167
366 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
367 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
368 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
369 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
370 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
371 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
372 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
373 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
374 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
375 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
376 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
377 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
378 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
379 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
380 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
381 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
382 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
383 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
384 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
385 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
386 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
387 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
388 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
389 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
390 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
391 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
392 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
393 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
394 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
395 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
396 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
397 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
398 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
399 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
400 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
401 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
402 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
403 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
404 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
405 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
406 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
407 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
408 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
409 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
410 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
411 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
412 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
413 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
414 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
415 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
416 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
417 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
418 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
419 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
420 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
421 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
422 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
423 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
424 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
425 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
426 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
427 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
428 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
429 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
430 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
