 ** Playing game examples/gridphysics/frogs.txt, level examples/gridphysics/frogs_lvl0.txt **
189 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
190 Result (1->win; 0->lose):0, Score:-2.0, timesteps:5
191 Result (1->win; 0->lose):0, Score:-2.0, timesteps:42
192 Result (1->win; 0->lose):0, Score:-2.0, timesteps:30
193 Result (1->win; 0->lose):0, Score:-2.0, timesteps:3
194 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
195 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
196 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
197 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
198 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
199 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
200 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
201 Result (1->win; 0->lose):0, Score:-2.0, timesteps:13
202 Result (1->win; 0->lose):0, Score:-2.0, timesteps:29
203 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
204 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
205 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
206 Result (1->win; 0->lose):0, Score:-2.0, timesteps:10
207 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
208 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
209 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
210 Result (1->win; 0->lose):0, Score:-2.0, timesteps:7
211 Result (1->win; 0->lose):0, Score:-2.0, timesteps:10
212 Result (1->win; 0->lose):0, Score:-2.0, timesteps:3
213 Result (1->win; 0->lose):0, Score:-2.0, timesteps:60
214 Result (1->win; 0->lose):0, Score:-2.0, timesteps:71
215 Result (1->win; 0->lose):0, Score:-2.0, timesteps:3
216 Result (1->win; 0->lose):0, Score:-2.0, timesteps:61
217 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
218 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
219 Result (1->win; 0->lose):0, Score:-2.0, timesteps:19
220 Result (1->win; 0->lose):0, Score:-2.0, timesteps:71
221 Result (1->win; 0->lose):0, Score:-2.0, timesteps:42
222 Result (1->win; 0->lose):0, Score:-2.0, timesteps:99
223 Result (1->win; 0->lose):0, Score:-2.0, timesteps:22
224 Result (1->win; 0->lose):0, Score:-2.0, timesteps:18
225 Result (1->win; 0->lose):0, Score:-2.0, timesteps:66
226 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
227 Result (1->win; 0->lose):0, Score:-2.0, timesteps:11
228 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
229 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
230 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
231 Result (1->win; 0->lose):0, Score:-2.0, timesteps:8
232 Result (1->win; 0->lose):0, Score:-2.0, timesteps:11
233 Result (1->win; 0->lose):0, Score:-2.0, timesteps:42
234 Result (1->win; 0->lose):0, Score:-2.0, timesteps:11
235 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
236 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
237 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
238 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
239 Result (1->win; 0->lose):0, Score:-2.0, timesteps:3
240 Result (1->win; 0->lose):0, Score:-2.0, timesteps:27
241 Result (1->win; 0->lose):0, Score:-2.0, timesteps:15
242 Result (1->win; 0->lose):0, Score:-2.0, timesteps:104
243 Result (1->win; 0->lose):0, Score:-2.0, timesteps:84
244 Result (1->win; 0->lose):0, Score:-2.0, timesteps:7
245 Result (1->win; 0->lose):0, Score:-2.0, timesteps:40
246 Result (1->win; 0->lose):0, Score:-2.0, timesteps:102
247 Result (1->win; 0->lose):0, Score:-2.0, timesteps:39
248 Result (1->win; 0->lose):0, Score:-2.0, timesteps:30
249 Result (1->win; 0->lose):0, Score:-2.0, timesteps:6
250 Result (1->win; 0->lose):0, Score:-2.0, timesteps:25
251 Result (1->win; 0->lose):0, Score:-2.0, timesteps:17
252 Result (1->win; 0->lose):0, Score:-2.0, timesteps:11
253 Result (1->win; 0->lose):0, Score:-2.0, timesteps:148
254 Result (1->win; 0->lose):0, Score:-2.0, timesteps:128
255 Result (1->win; 0->lose):0, Score:-2.0, timesteps:11
256 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
257 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
258 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
259 Result (1->win; 0->lose):0, Score:-2.0, timesteps:16
260 Result (1->win; 0->lose):0, Score:-2.0, timesteps:35
261 Result (1->win; 0->lose):0, Score:-2.0, timesteps:21
262 Result (1->win; 0->lose):0, Score:-2.0, timesteps:96
263 Result (1->win; 0->lose):0, Score:-2.0, timesteps:11
264 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
265 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
266 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
267 Result (1->win; 0->lose):0, Score:-2.0, timesteps:11
268 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
269 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
270 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
271 Result (1->win; 0->lose):0, Score:-2.0, timesteps:5
272 Result (1->win; 0->lose):0, Score:-2.0, timesteps:68
273 Result (1->win; 0->lose):0, Score:-2.0, timesteps:114
274 Result (1->win; 0->lose):0, Score:-2.0, timesteps:78
275 Result (1->win; 0->lose):0, Score:-2.0, timesteps:119
276 Result (1->win; 0->lose):0, Score:-2.0, timesteps:29
277 Result (1->win; 0->lose):0, Score:-2.0, timesteps:25
278 Result (1->win; 0->lose):0, Score:-2.0, timesteps:67
279 Result (1->win; 0->lose):0, Score:0.0, timesteps:261
280 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
281 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
282 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
283 Result (1->win; 0->lose):0, Score:-2.0, timesteps:85
284 Result (1->win; 0->lose):0, Score:-2.0, timesteps:19
285 Result (1->win; 0->lose):0, Score:-2.0, timesteps:141
286 Result (1->win; 0->lose):0, Score:-2.0, timesteps:23
287 Result (1->win; 0->lose):0, Score:-2.0, timesteps:177
288 Result (1->win; 0->lose):0, Score:-2.0, timesteps:8
289 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
290 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
291 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
292 Result (1->win; 0->lose):0, Score:-2.0, timesteps:131
293 Result (1->win; 0->lose):0, Score:-2.0, timesteps:57
294 Result (1->win; 0->lose):0, Score:-2.0, timesteps:142
295 Result (1->win; 0->lose):0, Score:-2.0, timesteps:11
296 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
297 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
298 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
299 Result (1->win; 0->lose):0, Score:-2.0, timesteps:36
300 Result (1->win; 0->lose):0, Score:-2.0, timesteps:29
301 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
302 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
303 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
304 Result (1->win; 0->lose):0, Score:-2.0, timesteps:5
305 Result (1->win; 0->lose):0, Score:-2.0, timesteps:71
306 Result (1->win; 0->lose):0, Score:-2.0, timesteps:35
307 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
308 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
309 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
310 Result (1->win; 0->lose):0, Score:-2.0, timesteps:8
311 Result (1->win; 0->lose):0, Score:-2.0, timesteps:8
312 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
313 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
314 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
315 Result (1->win; 0->lose):0, Score:-2.0, timesteps:57
316 Result (1->win; 0->lose):0, Score:-2.0, timesteps:95
317 Result (1->win; 0->lose):0, Score:-2.0, timesteps:152
318 Result (1->win; 0->lose):0, Score:-2.0, timesteps:42
319 Result (1->win; 0->lose):0, Score:-2.0, timesteps:38
320 Result (1->win; 0->lose):0, Score:-2.0, timesteps:4
321 Result (1->win; 0->lose):0, Score:-2.0, timesteps:61
322 Result (1->win; 0->lose):0, Score:-2.0, timesteps:38
323 Result (1->win; 0->lose):0, Score:-2.0, timesteps:57
324 Result (1->win; 0->lose):0, Score:-2.0, timesteps:38
325 Result (1->win; 0->lose):0, Score:-2.0, timesteps:14
326 Result (1->win; 0->lose):0, Score:-2.0, timesteps:59
327 Result (1->win; 0->lose):0, Score:-2.0, timesteps:52
328 Result (1->win; 0->lose):0, Score:-2.0, timesteps:135
329 Result (1->win; 0->lose):0, Score:-2.0, timesteps:11
330 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
