 ** Playing game examples/gridphysics/zelda.txt, level examples/gridphysics/zelda_lvl0.txt **
280 Result (1->win; 0->lose):0, Score:-1.0, timesteps:91
281 Result (1->win; 0->lose):0, Score:1.0, timesteps:587
282 Result (1->win; 0->lose):0, Score:3.0, timesteps:393
283 Result (1->win; 0->lose):0, Score:-1.0, timesteps:71
284 Result (1->win; 0->lose):0, Score:-1.0, timesteps:343
285 Result (1->win; 0->lose):0, Score:1.0, timesteps:695
286 Result (1->win; 0->lose):0, Score:-1.0, timesteps:71
287 Result (1->win; 0->lose):0, Score:1.0, timesteps:575
288 Result (1->win; 0->lose):0, Score:-1.0, timesteps:135
289 Result (1->win; 0->lose):0, Score:-1.0, timesteps:167
290 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
291 Result (1->win; 0->lose):0, Score:1.0, timesteps:555
292 Result (1->win; 0->lose):0, Score:3.0, timesteps:523
293 Result (1->win; 0->lose):0, Score:1.0, timesteps:167
294 Result (1->win; 0->lose):0, Score:-1.0, timesteps:103
295 Result (1->win; 0->lose):0, Score:1.0, timesteps:563
296 Result (1->win; 0->lose):0, Score:1.0, timesteps:463
297 Result (1->win; 0->lose):0, Score:1.0, timesteps:963
298 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
299 Result (1->win; 0->lose):0, Score:1.0, timesteps:559
300 Result (1->win; 0->lose):0, Score:1.0, timesteps:555
301 Result (1->win; 0->lose):0, Score:-1.0, timesteps:103
302 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
303 Result (1->win; 0->lose):0, Score:-1.0, timesteps:47
304 Result (1->win; 0->lose):0, Score:-1.0, timesteps:339
305 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
306 Result (1->win; 0->lose):0, Score:-1.0, timesteps:71
307 Result (1->win; 0->lose):0, Score:-1.0, timesteps:163
308 Result (1->win; 0->lose):0, Score:-1.0, timesteps:311
309 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
310 Result (1->win; 0->lose):0, Score:-1.0, timesteps:71
311 Result (1->win; 0->lose):0, Score:1.0, timesteps:71
