 ** Playing game examples/gridphysics/frogs.txt, level examples/gridphysics/frogs_lvl0.txt **
231 Result (1->win; 0->lose):0, Score:-2.0, timesteps:54
232 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
233 Result (1->win; 0->lose):0, Score:-2.0, timesteps:19
234 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
235 Result (1->win; 0->lose):0, Score:-2.0, timesteps:58
236 Result (1->win; 0->lose):0, Score:-2.0, timesteps:113
237 Result (1->win; 0->lose):0, Score:-2.0, timesteps:28
238 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
239 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
240 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
241 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
242 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
243 Result (1->win; 0->lose):0, Score:-2.0, timesteps:78
244 Result (1->win; 0->lose):0, Score:-2.0, timesteps:148
245 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
246 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
247 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
248 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
249 Result (1->win; 0->lose):0, Score:-2.0, timesteps:18
250 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
251 Result (1->win; 0->lose):0, Score:-2.0, timesteps:5
252 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
253 Result (1->win; 0->lose):0, Score:-2.0, timesteps:21
254 Result (1->win; 0->lose):0, Score:-2.0, timesteps:60
255 Result (1->win; 0->lose):0, Score:-2.0, timesteps:56
256 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
257 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
258 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
259 Result (1->win; 0->lose):0, Score:-2.0, timesteps:108
260 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
261 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
262 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
263 Result (1->win; 0->lose):0, Score:-2.0, timesteps:108
264 Result (1->win; 0->lose):0, Score:-2.0, timesteps:90
265 Result (1->win; 0->lose):0, Score:-2.0, timesteps:67
266 Result (1->win; 0->lose):0, Score:-2.0, timesteps:53
267 Result (1->win; 0->lose):0, Score:-2.0, timesteps:46
268 Result (1->win; 0->lose):0, Score:-2.0, timesteps:46
269 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
270 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
271 Result (1->win; 0->lose):0, Score:-2.0, timesteps:61
272 Result (1->win; 0->lose):0, Score:-2.0, timesteps:89
273 Result (1->win; 0->lose):0, Score:-2.0, timesteps:6
274 Result (1->win; 0->lose):0, Score:-2.0, timesteps:46
275 Result (1->win; 0->lose):0, Score:-2.0, timesteps:132
276 Result (1->win; 0->lose):0, Score:-2.0, timesteps:55
277 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
278 Result (1->win; 0->lose):0, Score:-2.0, timesteps:7
279 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
280 Result (1->win; 0->lose):0, Score:-2.0, timesteps:22
281 Result (1->win; 0->lose):0, Score:-2.0, timesteps:5
282 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
283 Result (1->win; 0->lose):0, Score:-2.0, timesteps:63
284 Result (1->win; 0->lose):0, Score:-2.0, timesteps:19
285 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
286 Result (1->win; 0->lose):0, Score:-2.0, timesteps:130
287 Result (1->win; 0->lose):0, Score:-2.0, timesteps:184
288 Result (1->win; 0->lose):0, Score:-2.0, timesteps:73
289 Result (1->win; 0->lose):0, Score:-2.0, timesteps:61
290 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
291 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
292 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
293 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
294 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
295 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
296 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
297 Result (1->win; 0->lose):0, Score:-2.0, timesteps:86
298 Result (1->win; 0->lose):0, Score:-2.0, timesteps:46
299 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
300 Result (1->win; 0->lose):0, Score:-2.0, timesteps:134
301 Result (1->win; 0->lose):0, Score:-2.0, timesteps:306
302 Result (1->win; 0->lose):0, Score:-2.0, timesteps:110
303 Result (1->win; 0->lose):0, Score:-2.0, timesteps:51
304 Result (1->win; 0->lose):0, Score:-2.0, timesteps:6
305 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
306 Result (1->win; 0->lose):0, Score:-2.0, timesteps:48
307 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
308 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
309 Result (1->win; 0->lose):0, Score:-2.0, timesteps:110
