 ** Playing game examples/gridphysics/missilecommand.txt, level examples/gridphysics/missilecommand_lvl0.txt **
293 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
294 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
295 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
296 Result (1->win; 0->lose):1, Score:2.0, timesteps:168
297 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
298 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
299 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
300 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
301 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
302 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
303 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
304 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
305 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
306 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
307 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
308 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
309 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
310 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
311 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
312 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
313 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
314 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
315 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
316 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
317 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
318 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
319 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
320 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
321 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
322 Result (1->win; 0->lose):1, Score:2.0, timesteps:198
323 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
324 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
325 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
326 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
327 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
328 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
329 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
330 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
331 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
332 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
333 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
334 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
335 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
336 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
337 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
338 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
339 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
340 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
341 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
342 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
343 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
344 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
345 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
346 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
347 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
348 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
349 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
350 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
351 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
352 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
353 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
354 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
355 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
356 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
357 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
358 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
359 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
360 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
361 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
362 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
363 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
364 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
365 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
366 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
367 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
368 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
369 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
370 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
371 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
372 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
373 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
374 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
375 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
376 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
377 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
378 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
379 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
380 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
381 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
382 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
383 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
384 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
385 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
386 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
387 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
388 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
389 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
390 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
391 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
392 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
393 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
394 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
395 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
396 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
397 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
398 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
399 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
400 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
401 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
402 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
403 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
404 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
405 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
406 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
407 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
408 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
409 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
410 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
411 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
412 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
413 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
414 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
415 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
416 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
417 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
418 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
419 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
420 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
421 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
422 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
423 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
424 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
425 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
426 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
427 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
428 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
429 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
430 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
