 ** Playing game examples/gridphysics/frogs.txt, level examples/gridphysics/frogs_lvl0.txt **
184 Result (1->win; 0->lose):0, Score:-2.0, timesteps:7
185 Result (1->win; 0->lose):0, Score:-2.0, timesteps:42
186 Result (1->win; 0->lose):0, Score:-2.0, timesteps:19
187 Result (1->win; 0->lose):0, Score:-2.0, timesteps:35
188 Result (1->win; 0->lose):0, Score:-2.0, timesteps:14
189 Result (1->win; 0->lose):0, Score:0.0, timesteps:17
190 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
191 Result (1->win; 0->lose):0, Score:-2.0, timesteps:148
192 Result (1->win; 0->lose):0, Score:-2.0, timesteps:35
193 Result (1->win; 0->lose):0, Score:-2.0, timesteps:27
194 Result (1->win; 0->lose):0, Score:-2.0, timesteps:69
195 Result (1->win; 0->lose):0, Score:-2.0, timesteps:13
196 Result (1->win; 0->lose):0, Score:-2.0, timesteps:5
197 Result (1->win; 0->lose):0, Score:-2.0, timesteps:34
198 Result (1->win; 0->lose):0, Score:-2.0, timesteps:27
199 Result (1->win; 0->lose):0, Score:-2.0, timesteps:13
200 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
201 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
202 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
203 Result (1->win; 0->lose):0, Score:-2.0, timesteps:5
204 Result (1->win; 0->lose):0, Score:-2.0, timesteps:78
205 Result (1->win; 0->lose):0, Score:0.0, timesteps:17
206 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
207 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
208 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
209 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
210 Result (1->win; 0->lose):0, Score:-2.0, timesteps:77
211 Result (1->win; 0->lose):0, Score:-2.0, timesteps:12
212 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
213 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
214 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
215 Result (1->win; 0->lose):0, Score:-2.0, timesteps:7
216 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
217 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
218 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
219 Result (1->win; 0->lose):0, Score:-2.0, timesteps:16
220 Result (1->win; 0->lose):0, Score:0.0, timesteps:20
221 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
222 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
223 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
224 Result (1->win; 0->lose):0, Score:-2.0, timesteps:12
225 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
226 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
227 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
228 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
229 Result (1->win; 0->lose):0, Score:-2.0, timesteps:12
230 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
231 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
232 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
233 Result (1->win; 0->lose):0, Score:-2.0, timesteps:57
234 Result (1->win; 0->lose):0, Score:-2.0, timesteps:25
235 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
